sale_date,city,store_id,product_name,category,unit_price,quantity,discount,actual_amount,member_ratio,weather,season,is_holiday,campaign
2024-01-05,北京市,S101,经典珍珠奶茶,奶茶,15,12,0.00,180.0,0.45,晴天,冬季,0,无活动
2024-02-14,北京市,S102,黑糖波波茶,奶茶,18,8,0.05,136.8,0.52,多云,冬季,1,节日促销
2024-03-20,北京市,S103,芝士莓莓,果茶,22,15,0.00,330.0,0.60,晴天,春季,0,新品上市
2024-06-11,北京市,S104,满杯橙橙,果茶,20,20,0.10,360.0,0.33,雨天,夏季,0,无活动
2024-09-05,北京市,S105,桃桃乌龙,果茶,19,10,0.00,190.0,0.48,阴天,秋季,0,会员日
2024-01-12,上海市,S201,抹茶拿铁,咖啡,25,6,0.00,150.0,0.70,晴天,冬季,0,无活动
2024-03-08,上海市,S202,生椰拿铁,咖啡,28,9,0.10,226.8,0.55,多云,春季,0,新品上市
2024-07-22,上海市,S203,芋泥波波,奶茶,16,25,0.00,400.0,0.40,晴天,夏季,0,满减活动
2024-10-15,上海市,S204,杨枝甘露,果茶,24,14,0.05,319.2,0.62,阴天,秋季,0,无活动
2024-12-25,上海市,S205,红豆布丁奶茶,奶茶,17,30,0.20,408.0,0.58,雪天,冬季,1,节日促销
2024-02-01,天津市,S301,经典珍珠奶茶,奶茶,15,18,0.00,270.0,0.30,晴天,冬季,0,无活动
2024-05-17,天津市,S302,黑糖波波茶,奶茶,18,11,0.00,198.0,0.47,多云,春季,0,会员日
2024-08-09,天津市,S303,芝士莓莓,果茶,22,7,0.15,130.9,0.53,雨天,夏季,0,新品上市
2024-11-11,天津市,S304,满杯橙橙,果茶,20,22,0.00,440.0,0.42,晴天,秋季,0,无活动
2024-03-30,重庆市,S401,桃桃乌龙,果茶,19,16,0.05,288.8,0.60,阴天,春季,0,无活动
2024-06-18,重庆市,S402,抹茶拿铁,咖啡,25,5,0.00,125.0,0.35,晴天,夏季,0,新品上市
2024-09-22,重庆市,S403,生椰拿铁,咖啡,28,8,0.10,201.6,0.50,多云,秋季,0,节日促销
2024-12-07,重庆市,S404,芋泥波波,奶茶,16,20,0.00,320.0,0.45,雪天,冬季,0,无活动
2024-04-02,河北省,S501,杨枝甘露,果茶,24,12,0.00,288.0,0.38,晴天,春季,0,会员日
2024-07-14,河北省,S502,红豆布丁奶茶,奶茶,17,28,0.10,428.4,0.55,多云,夏季,0,无活动
2024-10-28,河北省,S503,经典珍珠奶茶,奶茶,15,15,0.00,225.0,0.60,阴天,秋季,0,满减活动
2024-01-21,河北省,S504,黑糖波波茶,奶茶,18,9,0.00,162.0,0.42,晴天,冬季,0,新品上市
2024-05-05,山西省,S601,芝士莓莓,果茶,22,10,0.05,209.0,0.50,晴天,春季,0,无活动
2024-08-19,山西省,S602,满杯橙橙,果茶,20,18,0.00,360.0,0.33,雨天,夏季,0,会员日
2024-11-30,山西省,S603,桃桃乌龙,果茶,19,14,0.00,266.0,0.48,多云,秋季,1,节日促销
2024-02-25,山西省,S604,抹茶拿铁,咖啡,25,7,0.10,157.5,0.62,雪天,冬季,0,无活动
2024-03-12,辽宁省,S701,生椰拿铁,咖啡,28,6,0.00,168.0,0.55,晴天,春季,0,新品上市
